Nozzle,Fuel Type,Opening,Closing,Meter Diff (L),Invoiced (L),Invoiced Amount,Variance (L)
Dispenser 1 - Nozzle 1,Petrol,117350.9,117669.67,318.7700000000041,16.76,3000,302.0100000000041
Dispenser 3 - Nozzle 1,Petrol,279243.08,280118.86,875.7799999999697,5.59,1000,870.1899999999697
Dispenser 2 - Nozzle 1,Petrol,175909.45,176594.06,684.609999999986,76.47,13680,608.139999999986
Dispenser 1 - Nozzle 2,Diesel,254360.86,255320.37,959.5100000000093,0,0,959.5100000000093
Dispenser 2 - Nozzle 2,Diesel,255039.6,256375.61,1336.0099999999802,0,0,1336.0099999999802
Dispenser 4 - Nozzle 1,Petrol,151365.42,151824.32,458.8999999999942,0,0,458.8999999999942
Dispenser 4 - Nozzle 2,Diesel,212656.41,213157.67,501.2600000000093,0,0,501.2600000000093
Dispenser 3 - Nozzle 2,Diesel,169784.66,171360.67,1576.0100000000093,59.12,9808,1516.8900000000094
Dispenser 5 - Nozzle 1,Diesel,700990.069,702602.19,1612.1209999999264,0,0,1612.1209999999264
TOTAL,,,,8322.970999999889,157.94,27488,8165.030999999889